Data,Kontrakt,Kurs pierwszej transakcji (PLN/MWh),DKR (PLN/MWh),Kurs min. na sesji (PLN/MWh),Kurs maks. na sesji (PLN/MWh),Łączny wolumen obrotu (MWh),Liczba kontraktów,Łączna wartość obrotu (PLN),Liczba transakcji,Łączna liczba otwartych pozycji LOP (MWh)
2025-11-21,PEAK5_W-48-25,0,"574,97",0,0,0,0,"0,00",0,0
2025-11-21,PEAK5_W-49-25,0,"574,97",0,0,0,0,"0,00",0,0
2025-11-21,PEAK5_W-50-25,0,"574,97",0,0,0,0,"0,00",0,0
2025-11-21,PEAK5_W-51-25,0,"574,97",0,0,0,0,"0,00",0,0
2025-11-21,PEAK5_W-52-25,0,"591,09",0,0,0,0,"0,00",0,0
2025-11-21,PEAK5_M-12-25,0,"577,80","577,00","578,00",3150,10,"1 820 070,00",8,17 640
2025-11-21,PEAK5_M-01-26,0,"575,00",0,0,0,0,"0,00",0,4200
2025-11-21,PEAK5_M-02-26,0,"576,13",0,0,0,0,"0,00",0,0
2025-11-21,PEAK5_M-03-26,0,"472,52",0,0,0,0,"0,00",0,0
2025-11-21,PEAK5_M-04-26,0,"430,31",0,0,0,0,"0,00",0,0
2025-11-21,PEAK5_M-05-26,0,"407,62",0,0,0,0,"0,00",0,0
2025-11-21,PEAK5_Q-1-26,0,"539,00",0,0,0,0,"0,00",0,66 960
2025-11-21,PEAK5_Q-2-26,0,"425,00","425,00","425,00",1860,2,"790 500,00",1,1860
2025-11-21,PEAK5_Q-3-26,0,"483,18",0,0,0,0,"0,00",0,0
2025-11-21,PEAK5_Q-4-26,0,"580,00",0,0,0,0,"0,00",0,0
2025-11-21,PEAK5_Q-1-27,0,"553,04",0,0,0,0,"0,00",0,0
2025-11-21,PEAK5_Q-2-27,0,"452,21",0,0,0,0,"0,00",0,0
2025-11-21,PEAK5_Y-26,0,"507,00",0,0,0,0,"0,00",0,2 876 550
2025-11-21,PEAK5_Y-27,0,"510,00",0,0,0,0,"0,00",0,508 530
2025-11-21,PEAK5_Y-28,0,"495,54",0,0,0,0,"0,00",0,0
2025-11-21,PEAK5_Y-29,0,"516,68",0,0,0,0,"0,00",0,0
2025-11-24,PEAK5_W-49-25,0,"567,57",0,0,0,0,"0,00",0,0
2025-11-24,PEAK5_W-50-25,0,"567,57",0,0,0,0,"0,00",0,0
2025-11-24,PEAK5_W-51-25,0,"567,57",0,0,0,0,"0,00",0,0
2025-11-24,PEAK5_W-52-25,0,"583,49",0,0,0,0,"0,00",0,0
2025-11-24,PEAK5_W-01-26,0,"574,62",0,0,0,0,"0,00",0,0
2025-11-24,PEAK5_M-12-25,0,"572,00",0,0,0,0,"0,00",0,17 640
